,LOC,ZC,CITY,road,state,LAT,LONG
661,Club/Bar/Restaurant,10014.0,New York,Manhattan,NY,40.73388589,-74.00263405
662,Club/Bar/Restaurant,10002.0,New York,Manhattan,NY,40.72116616,-73.98868657
663,Club/Bar/Restaurant,10455.0,Bronx,Bronx,NY,40.81258038,-73.90596163
664,Club/Bar/Restaurant,11211.0,,Brooklyn,NY,40.70769793,-73.95581586
665,Club/Bar/Restaurant,10025.0,New York,Manhattan,NY,40.79924045,-73.9628704
666,Club/Bar/Restaurant,10003.0,New York,Manhattan,NY,40.73184063,-73.98986103
667,Club/Bar/Restaurant,10017.0,New York,Manhattan,NY,40.75405004,-73.96852622
668,Club/Bar/Restaurant,10009.0,Nyc,Manhattan,NY,40.72403031,-73.97888382
669,Club/Bar/Restaurant,10033.0,New York,Manhattan,NY,40.85198792,-73.93176905
670,Club/Bar/Restaurant,11418.0,Richmond Hill,Queens,NY,40.70211545,-73.82056959
671,Club/Bar/Restaurant,10002.0,New York,Manhattan,NY,40.72141034,-73.98769444
672,Club/Bar/Restaurant,11385.0,Ridgewood,Queens,NY,40.70256374,-73.90062398
673,Club/Bar/Restaurant,10463.0,Bronx,Bronx,NY,40.88355217,-73.89849823
674,Club/Bar/Restaurant,10075.0,New York,Manhattan,NY,40.77076607,-73.95384973
675,Club/Bar/Restaurant,11206.0,,Brooklyn,NY,40.70791011,-73.9450059
676,Club/Bar/Restaurant,11435.0,Jamaica,Queens,NY,40.69821675,-73.80633134
677,Club/Bar/Restaurant,10467.0,Bronx,Bronx,NY,40.87153719,-73.8772306
678,Club/Bar/Restaurant,10471.0,Bronx,Bronx,NY,40.88923532,-73.90039556
679,Club/Bar/Restaurant,11368.0,Corona,Queens,NY,40.75168549,-73.85543864
680,Club/Bar/Restaurant,10036.0,New York,Manhattan,NY,40.76181083,-73.99387056
681,Club/Bar/Restaurant,10019.0,New York,Manhattan,NY,40.7623246,-73.9764531
682,Club/Bar/Restaurant,11106.0,Astoria,Queens,NY,40.7603875,-73.92199029
683,Club/Bar/Restaurant,11367.0,Flushing,Queens,NY,40.71865809,-73.81360953
684,Club/Bar/Restaurant,10036.0,New York,Manhattan,NY,40.75962609,-73.99547346
685,Club/Bar/Restaurant,10013.0,New York,Manhattan,NY,40.72593131,-74.00842073
686,Club/Bar/Restaurant,10003.0,New York,Manhattan,NY,40.73178846,-73.98969145
687,Club/Bar/Restaurant,10033.0,New York,Manhattan,NY,40.84862709,-73.93424121
688,Club/Bar/Restaurant,10040.0,New York,Manhattan,NY,40.86328205,-73.9267828
689,Club/Bar/Restaurant,10014.0,New York,Manhattan,NY,40.73400669,-74.00005412
690,Club/Bar/Restaurant,10003.0,New York,Manhattan,NY,40.73609748,-73.98721542
691,Club/Bar/Restaurant,10002.0,New York,Manhattan,NY,40.7207874,-73.98885619
692,Club/Bar/Restaurant,10005.0,New York,Manhattan,NY,40.70619093,-74.00916485
693,Club/Bar/Restaurant,11211.0,,Brooklyn,NY,40.71254873,-73.95796249
694,Club/Bar/Restaurant,10032.0,New York,Manhattan,NY,40.84332975,-73.93914372
695,Club/Bar/Restaurant,11238.0,,Brooklyn,NY,40.68067802,-73.96238479
696,Club/Bar/Restaurant,11004.0,Glen Oaks,Queens,NY,40.73713914,-73.70921876
697,Club/Bar/Restaurant,11103.0,Astoria,Queens,NY,40.76523994,-73.91390907
698,Club/Bar/Restaurant,10027.0,New York,Manhattan,NY,40.80467738,-73.94773257
699,Club/Bar/Restaurant,11415.0,Kew Gardens,Queens,NY,40.70605964,-73.83143704
700,Club/Bar/Restaurant,10036.0,New York,Manhattan,NY,40.75934044,-73.99195767
701,Club/Bar/Restaurant,10014.0,New York,Manhattan,NY,40.72860489,-74.00531458
702,Club/Bar/Restaurant,11103.0,Astoria,Queens,NY,40.76548132,-73.91369938
703,Club/Bar/Restaurant,10003.0,New York,Manhattan,NY,40.73058315,-73.98621703
704,Club/Bar/Restaurant,10012.0,New York,Manhattan,NY,40.72671632,-73.99169101
705,Club/Bar/Restaurant,10012.0,New York,Manhattan,NY,40.72924728,-74.00006494
706,Club/Bar/Restaurant,11216.0,,Brooklyn,NY,40.67413684,-73.95380845
707,Club/Bar/Restaurant,10002.0,New York,Manhattan,NY,40.72146258,-73.98852418
708,Club/Bar/Restaurant,11217.0,,Brooklyn,NY,40.68088064,-73.98371072
709,Club/Bar/Restaurant,11232.0,,Brooklyn,NY,40.65171843,-74.00463814
710,Club/Bar/Restaurant,11211.0,,Brooklyn,NY,40.72004918,-73.95534951
711,Club/Bar/Restaurant,10031.0,New York,Manhattan,NY,40.82259297,-73.94952505
712,Club/Bar/Restaurant,10040.0,New York,Manhattan,NY,40.85717578,-73.93239997
713,Club/Bar/Restaurant,11215.0,,Brooklyn,NY,40.66759276,-73.98100684
714,Club/Bar/Restaurant,10009.0,New York,Manhattan,NY,40.72983031,-73.98079426
715,Club/Bar/Restaurant,11249.0,,Brooklyn,NY,40.7122186,-73.96382426
716,Club/Bar/Restaurant,10002.0,New York,Manhattan,NY,40.72285427,-73.98957017
717,Club/Bar/Restaurant,11372.0,Jackson Heights,Queens,NY,40.75568407,-73.88411081
718,Club/Bar/Restaurant,10007.0,New York,Manhattan,NY,40.71406302,-74.00770861
719,Club/Bar/Restaurant,10302.0,Staten Island,Staten Island,NY,40.63322528,-74.13667392
720,Club/Bar/Restaurant,10033.0,New York,Manhattan,NY,40.85044819,-73.9366612
721,Club/Bar/Restaurant,10024.0,New York,Manhattan,NY,40.78670595,-73.97571503
722,Club/Bar/Restaurant,10002.0,New York,Manhattan,NY,40.71407655,-73.98984209
723,Club/Bar/Restaurant,10014.0,New York,Manhattan,NY,40.72854728,-74.0046471
724,Club/Bar/Restaurant,10075.0,New York,Manhattan,NY,40.77242188,-73.95570793
725,Club/Bar/Restaurant,11222.0,,Brooklyn,NY,40.73657808,-73.95530596
726,Club/Bar/Restaurant,10469.0,Bronx,Bronx,NY,40.87904927,-73.84311987
727,Club/Bar/Restaurant,11206.0,,Brooklyn,NY,40.70071878,-73.92978883
728,Club/Bar/Restaurant,11234.0,,Brooklyn,NY,40.61478363,-73.93656785
729,Club/Bar/Restaurant,11206.0,,Brooklyn,NY,40.70482471,-73.93401518
730,Club/Bar/Restaurant,10012.0,New York,Manhattan,NY,40.72223429,-73.99433237
731,Club/Bar/Restaurant,11435.0,Jamaica,Queens,NY,40.70227392,-73.81152746
732,Club/Bar/Restaurant,10011.0,New York,Manhattan,NY,40.73875786,-74.00019486
733,Club/Bar/Restaurant,11221.0,,Brooklyn,NY,40.69622255,-73.93391551
734,Club/Bar/Restaurant,10003.0,New York,Manhattan,NY,40.72477819,-73.98794997
735,Club/Bar/Restaurant,11249.0,,Brooklyn,NY,40.71776846,-73.96366974
736,Club/Bar/Restaurant,11216.0,,Brooklyn,NY,40.67127809,-73.95035693
737,Club/Bar/Restaurant,10002.0,New York,Manhattan,NY,40.72205788,-73.98570651
738,Club/Bar/Restaurant,10002.0,New York,Manhattan,NY,40.72042228,-73.98817082
